temporada;jugador;puntos_por_partido;asistencias_por_partido;tapones_por_partido;rebotes_por_partido
98/99;62;19.9;3.8;1;5.3
98/99;65;5.9;3.9;0;1.8
98/99;94;4;0.5;0;4
98/99;95;1;0;0;0
98/99;105;1.5;0.1;0.4;1.1
98/99;109;23.4;8.7;0.1;2.6
98/99;114;6;0.6;0.5;3.9
98/99;129;1.35;0.2;0;1
98/99;153;15.2;0.8;1.4;8.8
98/99;155;4.5;1.2;0;1.2
98/99;158;13.7;1.6;1.5;8.2
98/99;159;8.6;6.3;0;3.4
98/99;162;6;0.4;2;8.3
98/99;181;10.8;3.8;0.1;2.9
98/99;182;4.2;1.2;0;0.8
98/99;187;9.8;0.4;0.6;6
98/99;190;1.6;0.1;0.2;1.4
98/99;228;9.1;1.5;0.3;3.8
98/99;240;17.1;3.6;0.1;4.2
98/99;242;11.4;1.3;1;6.9
98/99;243;18;4.8;0;1.5
98/99;245;20.8;4.3;1.8;10.4
98/99;248;16.5;2.4;1;6.4
98/99;249;5.1;0.3;1.1;5.1
98/99;261;13.2;6.5;0.1;2.7
98/99;287;4.5;1.3;0.2;1.8
98/99;292;20.1;1.6;3.9;11
98/99;295;12.8;6;0;3.1
98/99;300;23;34;1.1;7.5
98/99;305;5;2.2;0.1;1.5
98/99;307;6.3;0.6;0.5;3.1
98/99;308;2;0;0;0.5
98/99;313;6.6;0.7;0.8;7.5
98/99;330;8.4;1.5;0.2;3
98/99;331;4.4;0.4;0.1;1.3
98/99;347;7.1;3.3;0.1;2.7
98/99;349;9.3;2.3;1.4;5.7
98/99;350;10.8;1.1;2.9;12.2
98/99;361;11.1;3.1;0.3;3.8
98/99;363;2.3;0.9;0.3;1.7
98/99;364;21.7;2.4;2.5;11.4
98/99;365;16;2.8;0.4;4.5
98/99;367;4.9;1.5;1;4
98/99;372;12.6;6.2;0.1;3.3
98/99;373;8.1;1.1;0.3;5.7
98/99;375;2.3;0.6;0;0.6
98/99;386;13.8;0.7;1.4;7.6
98/99;403;4.7;2.3;0.1;1.1
98/99;405;9.6;0.7;0.3;6.4
98/99;427;2.9;0.4;1;4.4
98/99;428;5.6;0.5;0.1;1.9
98/99;431;2.4;0.2;0.1;1.3
98/99;443;8.8;1.1;1.2;7.6
98/99;445;18.9;3;0.4;8.1
98/99;446;13.6;3.1;1.2;3.8
98/99;447;16.9;10.8;0.4;6.8
98/99;448;5;1.7;0;0.4
98/99;450;8.2;1;0.6;3.4
98/99;451;14.5;2.8;0.4;2.5
98/99;462;13.8;6.7;0.1;3.6
98/99;464;18.3;3;1.5;5.7
98/99;472;21.8;1.5;1.3;8.5
98/99;483;7.2;0.3;1.6;5.5
98/99;505;8.2;0.9;0.1;4.3
98/99;530;2.5;0.4;0.4;2.7
98/99;541;13.9;3.8;0.3;2.1
98/99;546;11.9;3.9;0.2;3.4
98/99;549;21.2;1.6;2.3;10.7
98/99;551;11.2;0.6;3;8.1
98/99;554;12.8;1.2;1.1;4.9
98/99;567;11.8;11;0.8;7.1
98/99;584;21.1;6;0.5;7.1
98/99;585;1.4;0;0;0.1
98/99;586;7.9;5.5;0.1;2.9
98/99;587;26.3;2.3;1.7;10.7
98/99;588;10.5;1.1;0.1;2.9
98/99;589;4.1;0;0.6;2.5
98/99;604;3.4;0.4;0.3;1.7
98/99;605;5.9;3.8;0.2;2
98/99;607;2.1;0.2;0.1;1.9
99/00;2;5.7;1.1;0.4;3.6
99/00;3;7;0.8;0.4;4.1
99/00;14;20.5;3.7;0.4;8
99/00;21;20.1;1.9;1.6;10
99/00;26;9.3;7;0.3;3
99/00;28;8.4;0.8;0.3;3.9
99/00;29;15.8;2.6;0.4;3.6
99/00;33;11.8;1.4;0.4;4.2
99/00;50;8;2.9;0.2;3
99/00;62;22.5;4.9;0.9;6.3
99/00;65;6.3;2.8;0;1.8
99/00;71;16.6;4.2;1.2;7.8
99/00;94;5.7;1.1;1;4.6
99/00;95;3.6;0.6;0.2;1.7
99/00;109;23.9;7.6;0.1;3.1
99/00;114;6.7;0.6;0.7;4.5
99/00;121;3.8;0.6;1.3;2.9
99/00;128;11.1;5.8;0.2;3.4
99/00;129;1.8;2.4;0;0.8
99/00;155;5.2;3;0;1.2
99/00;158;9.9;1.1;1.1;6.2
99/00;159;7.9;7.6;0.1;3.2
99/00;160;11.6;2.8;0.3;3.7
99/00;162;4.8;0.8;1.6;8.2
99/00;181;16.9;3.4;0.2;4
99/00;182;5.3;1.8;0;1
99/00;187;13.1;1.2;0.7;1.2
99/00;190;1.9;0.1;0.4;1.8
99/00;207;2.2;0.6;0.4;3.5
99/00;228;22.7;4.1;0.5;5.9
99/00;240;22.1;3.8;0.2;4.4
99/00;242;9.6;1.8;0.8;7.5
99/00;243;18.6;9;0.1;3.7
99/00;245;22.9;5;1.6;11.8
99/00;248;19.5;3;0.9;5.4
99/00;249;5.4;0.6;0.8;5.3
99/00;250;8.2;1.8;0.4;3.9
99/00;261;14.5;8.1;0.2;3.7
99/00;287;4.7;1.3;0.2;1.7
99/00;291;10.2;1.4;1;6.5
99/00;292;21.7;1.6;3.7;9.5
99/00;295;12.3;7.3;0.1;2.8
99/00;300;20.3;3.3;1.1;10.1
99/00;301;12;2.8;0.5;4.3
99/00;305;2.4;1.6;0.1;1
99/00;307;7.7;0.8;0.6;5.3
99/00;308;7.9;0.6;1.1;3.9
99/00;310;8.3;1.6;0.3;6.1
99/00;313;6;0.3;0.5;4.1
99/00;322;2.5;0.4;0.2;2.2
99/00;330;11.9;1.4;0.1;3.7
99/00;331;8.8;1.5;0.2;2.8
99/00;340;2.2;2.6;0;0.9
99/00;343;18;6.6;0.4;5.3
99/00;347;5.1;2.4;0.1;2.1
99/00;349;15.4;3.3;1.9;6.3
99/00;350;11.5;1.3;3.3;14.1
99/00;361;11.8;3.6;0.4;4.7
99/00;363;5.1;0.7;0.4;2.2
99/00;364;23.2;3.2;2.2;12.4
99/00;365;21.5;4.9;0.4;5.3
99/00;367;5.7;1.6;1;4.8
99/00;372;12.5;5.2;0;3.1
99/00;373;8;1;0.5;6.3
99/00;375;3.7;1.6;0;0.8
99/00;386;12.4;1.2;2.2;7.9
99/00;403;6.2;2.6;0.1;1.3
99/00;405;19.6;2.1;0.3;8.3
99/00;427;5.5;0.6;1.8;5.6
99/00;428;8.2;0.7;0.2;2.6
99/00;431;8.2;0.9;0.4;4.1
99/00;443;8;0.9;0.7;6.4
99/00;445;17.8;3;0.3;5.7
99/00;446;20.1;4.2;0.7;4.8
99/00;447;14.3;10.1;0.4;7.2
99/00;448;6;2.1;0;1.5
99/00;450;17.5;2.5;0.8;6.5
99/00;451;23.6;4.5;0.4;3.8
99/00;452;8.1;4.3;0.1;2
99/00;454;3.2;0.2;0.1;1.5
99/00;462;16.2;6.1;0.1;3.3
99/00;464;25.7;3.9;1.1;5.8
99/00;472;19.2;2;0.8;8.5
99/00;482;9.5;3.7;0;1.5
99/00;483;10.2;0.8;2;7.8
99/00;484;6.3;4.8;0.1;2.5
99/00;505;4;2;0.2;3
99/00;524;2.3;0.3;0.1;1.7
99/00;530;3.9;0.3;0.8;3.3
99/00;541;8.6;0.8;0.2;2.6
99/00;543;9;1.5;0.1;1.8
99/00;546;12.7;4;0.3;3
99/00;549;19.1;2;1.7;8.5
99/00;551;11.9;0.6;3;7.6
99/00;554;16.4;1.8;1.3;7
99/00;566;6.7;2.5;0.2;5.2
99/00;567;14.2;2.6;1.1;10
99/00;584;25.8;5.2;0.6;7.1
99/00;585;1.6;0;0.2;0.4
99/00;586;8.6;4.9;0.1;2.2
99/00;587;29.7;3.8;3;13.6
99/00;588;8.7;1.1;0.2;3
99/00;589;5.4;0.3;1.3;6.1
99/00;604;10.3;1.1;0.7;4.7
99/00;605;13.8;7.3;0.4;5
99/00;607;6.6;0.8;0.2;3.2
